,KOMKODE,YEAR,DISINDK,KRIMINELITET,LAVINDK,LANGLEDIG,SKILSMISSER,ANDEL_INDV
2841,101,2019,228338,8.8,44.9,0.7583333333333333,18.2,15.265994309928374
3082,185,2019,245993,6.1,19.4,0.5416666666666666,13.4,9.639345787328555
3243,147,2019,276683,3.4,28.0,0.7083333333333334,15.6,10.257425077596919
3361,161,2019,232928,9.1,22.0,0.6666666666666666,11.6,16.140400801164535
3362,165,2019,208399,9.0,33.2,0.9166666666666666,13.4,25.001800633823105
3363,153,2019,211029,10.9,35.4,1.1916666666666664,16.4,28.026856498009185
3365,167,2019,229211,5.7,24.6,0.5749999999999998,13.0,15.673518222521334
3366,175,2019,232107,4.7,23.8,0.9250000000000003,11.5,16.1038735775304
3369,187,2019,255657,3.2,18.7,0.48333333333333334,15.1,21.74872410687481
3370,169,2019,225609,7.9,30.4,0.7833333333333333,14.7,23.09693857474521
3371,183,2019,205800,6.9,30.9,1.1583333333333332,13.6,33.62152509337195
3374,253,2019,259348,3.2,18.8,0.39999999999999997,13.5,11.232873990322997
3375,265,2019,260890,5.3,18.3,0.525,11.2,6.98852281162565
3382,269,2019,282070,1.9,12.2,0.2083333333333333,12.2,5.631204143288735
3388,151,2019,236121,5.7,19.3,0.5749999999999998,14.5,13.149978069609638
3389,159,2019,250679,4.5,24.2,0.6083333333333333,13.7,15.649554646556869
3390,163,2019,236643,5.8,18.8,0.36666666666666664,16.7,15.308691101288051
3395,240,2019,274867,3.0,10.5,0.5583333333333333,10.0,6.49325948254497
3400,155,2019,311793,2.3,13.3,0.6583333333333333,11.3,4.237730595196658
3402,157,2019,427370,3.7,25.1,0.5999999999999999,11.6,8.728964745979338
3404,173,2019,322546,3.9,20.0,0.4166666666666667,10.4,9.43280203547828
3405,230,2019,412461,3.0,13.2,0.4916666666666667,9.9,7.6211257216305865
3418,190,2019,308833,3.1,15.7,0.36666666666666664,12.4,10.557450404606003
3425,223,2019,375418,4.3,16.1,0.525,10.7,6.578907883286153
3428,210,2019,281526,4.1,18.2,0.3833333333333333,9.4,11.930020017017526
3434,217,2019,254779,5.6,21.6,0.7083333333333334,12.6,9.17182199161844
3441,270,2019,245826,3.9,18.9,0.3499999999999999,14.9,4.346797240475453
3445,219,2019,262199,6.2,17.3,0.48333333333333345,12.0,8.279196179358959
3453,260,2019,224733,5.0,19.9,0.6583333333333333,14.5,6.610437028651604
3463,201,2019,306103,4.0,11.0,0.2750000000000001,9.7,6.040196603241034
3492,250,2019,242718,6.1,15.3,0.525,14.8,5.565297951890944
3501,400,2019,202976,5.0,18.6,0.39166666666666666,13.2,3.6558583347006777
3512,350,2019,258246,4.1,13.0,0.4083333333333334,12.2,4.180093089867526
3519,259,2019,236936,4.4,18.7,0.5083333333333333,12.3,8.553752685782026
3520,316,2019,229668,5.5,20.1,0.4666666666666668,17.3,6.9810957128090125
3521,320,2019,222006,3.7,22.1,0.6083333333333333,17.3,4.2214499733209285
3522,329,2019,229385,3.9,20.6,0.5333333333333333,13.1,9.304935962008923
3523,340,2019,229600,6.3,18.6,0.5083333333333334,15.7,4.274778472001206
3524,370,2019,223879,4.8,22.3,0.8333333333333331,17.3,6.414215287935425
3538,330,2019,216819,8.8,26.2,0.7916666666666666,16.6,9.22626389126076
3542,326,2019,222710,5.7,22.0,0.6916666666666668,16.4,5.3709847491191525
3599,306,2019,210297,5.7,23.6,0.7916666666666666,13.6,3.9817665881784703
3618,336,2019,233946,4.0,18.8,0.6,14.9,4.0047307730214525
3649,390,2019,212004,7.0,24.9,0.8333333333333335,17.2,4.209772706157537
3665,376,2019,203449,8.8,29.2,1.0083333333333335,15.6,5.341532748365046
3677,360,2019,193056,15.0,28.9,0.9666666666666668,15.1,5.834624357250933
3698,461,2019,211967,6.6,30.2,0.9166666666666669,14.2,12.006935944013529
3707,480,2019,214266,7.5,16.5,0.7583333333333332,10.3,4.008174455667033
3708,440,2019,222244,4.8,16.5,0.5583333333333332,11.3,4.896279499454102
3720,410,2019,235139,4.8,13.6,0.2666666666666667,12.3,4.470781127958842
3728,420,2019,212415,3.4,16.6,0.4666666666666668,15.7,3.3529468974907606
3733,450,2019,215483,11.1,18.0,0.5749999999999998,14.8,6.183127411318162
3734,430,2019,214986,5.5,14.9,0.5,11.3,3.8794228222946003
3755,479,2019,218492,5.9,22.9,0.6499999999999999,15.5,5.665703024583549
3780,482,2019,189623,5.3,27.0,0.8333333333333335,13.1,3.7285771223595052
3785,492,2019,201430,1.3,21.9,0.5333333333333333,9.2,2.8637835145679422
3789,621,2019,232918,6.1,20.2,0.44166666666666665,14.2,8.408781950362423
3791,630,2019,239626,6.5,17.9,0.5,14.1,8.155864448712522
3796,510,2019,212391,5.5,22.1,0.5166666666666667,12.5,5.947265843768902
3805,580,2019,213650,6.4,23.8,0.5916666666666667,12.6,6.093661201258768
3808,550,2019,204836,8.5,22.7,0.4166666666666667,12.8,4.681514446939062
3812,540,2019,215616,5.5,18.4,0.5916666666666666,10.2,7.84872486784933
3838,575,2019,218332,4.2,17.4,0.36666666666666664,12.5,5.390722209565202
3841,530,2019,231771,4.7,13.2,0.29999999999999993,11.2,6.702800022505204
3849,561,2019,224598,6.8,21.9,0.5,13.3,6.94627607826181
3852,573,2019,218754,4.8,15.4,0.28333333333333327,12.8,4.670673616480036
3862,563,2019,244102,5.3,11.7,0.8250000000000002,8.5,3.7222464083587288
3877,760,2019,221198,2.7,13.9,0.30833333333333324,12.5,4.968119255969395
3894,657,2019,229212,6.7,18.1,0.5583333333333333,11.4,7.0274611559015225
3904,661,2019,224254,5.7,18.3,0.3083333333333333,12.3,5.867479862303428
3905,665,2019,217221,3.0,14.8,0.29166666666666663,10.6,3.6536964003114876
3907,607,2019,222200,7.4,23.4,0.6666666666666666,14.0,8.514579059434338
3911,766,2019,233866,3.7,11.2,0.3249999999999999,12.6,3.853071537160354
3940,756,2019,221583,5.9,16.9,0.39999999999999997,12.0,7.286844135802468
3947,740,2019,242114,4.0,14.4,0.5166666666666667,13.8,5.1006923266240785
3961,791,2019,229556,4.7,18.1,0.5499999999999999,13.3,5.412942695871859
3967,671,2019,213174,4.3,19.4,0.49166666666666664,11.7,5.594372468676725
3985,787,2019,213065,3.6,20.4,0.46666666666666673,11.2,4.3888802787392445
3996,779,2019,215303,4.2,19.7,0.3249999999999999,11.6,4.591269647630356
4008,773,2019,202190,2.9,22.1,0.3416666666666666,12.3,3.911355707336249
4014,751,2019,234439,6.5,26.4,0.7916666666666666,13.1,11.757828587172346
4024,727,2019,238007,3.4,13.6,0.5666666666666668,10.5,4.91165611814346
4026,741,2019,211378,3.5,15.3,0.6166666666666666,15.0,2.5288919102651257
4035,746,2019,259984,2.8,10.2,0.3166666666666666,11.0,4.554750625796057
4037,710,2019,243703,4.0,9.9,0.37499999999999994,11.4,4.069343725933085
4043,706,2019,230006,3.1,16.3,0.5,14.0,3.97362191410213
4047,707,2019,207855,8.2,21.7,0.75,14.7,4.331983266274082
4088,615,2019,230081,6.4,18.9,0.525,14.1,7.996971990915973
4133,730,2019,216009,6.2,22.4,0.6666666666666666,14.7,6.052049772531158
4153,846,2019,216354,4.7,19.8,0.6499999999999999,14.1,4.6706244188541595
4159,851,2019,218056,5.2,22.9,0.8750000000000001,12.5,7.0100196083654644
4163,840,2019,238925,2.2,11.7,0.4166666666666667,12.7,3.637666427821566
4165,820,2019,208305,4.4,20.8,0.6916666666666668,13.6,4.535320505891255
4174,813,2019,214560,4.2,19.2,0.6499999999999998,12.9,4.298997554399993
4176,810,2019,211674,3.9,18.9,0.46666666666666673,13.2,4.533899469590788
4188,849,2019,213308,4.9,20.1,0.30833333333333324,11.3,3.607620855298652
4202,860,2019,217772,4.2,20.5,0.4833333333333334,11.4,5.103595486500491
4258,825,2019,200288,0.6,16.2,0.44166666666666665,16.3,1.1891592920353982
